parent_cluster,sub_cluster_id,label,n_keywords,total_sv,median_kd,pct_commercial,top_5_kw_by_sv,top_terms
1,-1,(zu vergeben),4,757,35,25,mindestlohngesetz zeitarbeit; finanzierung zeitarbeitsfirma; factoring kosten zeitarbeit; zessionskredit zeitarbeit,mindestlohngesetz; finanzierung; zeitarbeitsfirma; factoring; kosten; zessionskredit
1,0,(zu vergeben),47,14023,29,4,arbeitnehmerüberlassung; arbeitnehmerüberlassungsgesetz; arbeitsschutz zeitarbeit; arbeitgeberanteile sozialversicherung; arbeitsmarkt 2026,zeitarbeitnehmer; arbeitsvertrag; arbeitsmarkt; arbeitnehmerüberlassung; sozialversicherung; employer
1,1,(zu vergeben),24,9783,38,4,höchstüberlassungsdauer; liquidität zeitarbeit; tariflandschaft zeitarbeit; igz tarifvertrag aktuell; lohnsteuer zeitarbeit,höchstüberlassungsdauer; tarifvertrag; erlaubnis; lohn; liquidität; gesetzliche
1,2,(zu vergeben),19,11706,35,21,debitorenmanagement; equal pay zeitarbeit; zahlungsausfall absichern; zahlungsziele kunden; bap tarif aktuell,kosten; equal; cost; berechnen; debitorenmanagement; zahlungsausfall
1,3,(zu vergeben),95,27995,35,35,zeitarbeit programm; zeitarbeit branche entwicklung; factoring zeitarbeit; crm zeitarbeit; lohnabrechnung zeitarbeit,zeiterfassung; factoring; statistik; lohnabrechnung; saas; pflege
